model,CoinFlip,ElasticNet,ElasticNet_capped,OLS_untuned,TabPFN,XGBoost,XGBoost_capped,XGBoost_default,mean,median
CoinFlip,,-0.046,-0.048,-0.024,-0.048,-0.055,-0.059,-0.030,-0.060,-0.059
ElasticNet,,,0.993,0.904,0.929,0.926,0.910,0.792,0.975,0.970
ElasticNet_capped,,,,0.901,0.929,0.925,0.917,0.791,0.977,0.973
OLS_untuned,,,,,0.902,0.908,0.882,0.837,0.976,0.969
TabPFN,,,,,,0.958,0.951,0.824,0.998,0.994
XGBoost,,,,,,,0.986,0.847,0.969,0.962
XGBoost_capped,,,,,,,,0.819,0.966,0.960
XGBoost_default,,,,,,,,,0.908,0.899
mean,,,,,,,,,,0.996
median,,,,,,,,,,
